"Dengue viral component","Human Gene symbol","Human gene Entrez Id","Pubmed Id","Serotype","System","Experiment","Title"
"3'-UTR","CALR",811,12584332,"DENV4","U937","Crosslinking followed by immunoprecipitation and mobility shift assay","Cellular proteins from human monocytes bind to dengue 4 virus minus-strand 3' untranslated region RNA."
"3'-UTR","PDIA2",64714,12584332,"DENV4","U937","Crosslinking followed by immunoprecipitation and mobility shift assay","Cellular proteins from human monocytes bind to dengue 4 virus minus-strand 3' untranslated region RNA."
"3'-UTR","SSB",6741,12584332,"DENV4","U937","Crosslinking followed by immunoprecipitation and mobility shift assay","Cellular proteins from human monocytes bind to dengue 4 virus minus-strand 3' untranslated region RNA."
"3'-UTR","TIA1",7072,17502609,"DENV2","BHK-21","Co-immunoprecipitation, Western blot, Co-localization by Confocal Microscopy","Interaction of TIA-1/TIAR with West Nile and dengue virus products in infected cells interferes with stress granule formation and processing body assembly"
"3'-UTR","TIAL1",7073,17502609,"DENV2","BHK-21","Co-immunoprecipitation, Western blot, Co-localization by Confocal Microscopy","Interaction of TIA-1/TIAR with West Nile and dengue virus products in infected cells interferes with stress granule formation and processing body assembly"
"3'-UTR","HNRNPA1",3178,17726010,"DENV2","BHK-21,  Immortalized mouse embryo fibroblasts","Affinity Chromatography followed by Mass Spectrometry, Viral RNA Immunoprecipitation","Y box-binding protein-1 binds to the dengue virus 3'-untranslated region and mediates antiviral effects."
"3'-UTR","HNRNPA2B1",3181,17726010,"DENV2","BHK-21,  Immortalized mouse embryo fibroblasts","Affinity Chromatography followed by Mass Spectrometry and Viral RNA Immunoprecipitation","Y box-binding protein-1 binds to the dengue virus 3'-untranslated region and mediates antiviral effects."
"3'-UTR","YBX1",4904,17726010,"DENV2","BHK-21,  Immortalized mouse embryo fibroblasts","Affinity Chromatography followed by Mass Spectrometry and Viral RNA Immunoprecipitation","Y box-binding protein-1 binds to the dengue virus 3'-untranslated region and mediates antiviral effects."
"3'-UTR","PABPC1",26986,19218215,"DENV2","Cell free assays","RNA binding followed by EMSA","Poly(A)-binding protein binds to the non-polyadenylated 3′ untranslated region of dengue virus and modulates translation efficiency"
"3'-UTR","PTBP1",5725,19380576,"DENV2","BHK-21, Vero","RNA immunoprecipitation followed by mass spectrometry, Confocal immunofluorescence analysis, siRNA, ","The polypyrimidine tract-binding protein is required for efficient dengue virus propagation and associates with the viral replication machinery."
"3'-UTR","PTBP1",5725,21148275,"DENV2","A549","RNA immunoprecipitation followed by mass spectrometry, Confocal immunofluorescence analysis ","Functional interaction between cellular p100 and the dengue virus 3' UTR."
"3'-UTR","RBMX",27316,21148275,"DENV2","A549","RNA immunoprecipitation followed by mass spectrometry, Confocal immunofluorescence analysis ","Functional interaction between cellular p100 and the dengue virus 3' UTR."
"3'-UTR","SND1",27044,21148275,"DENV2","A549","RNA immunoprecipitation followed by mass spectrometry, Confocal immunofluorescence analysis ","Functional interaction between cellular p100 and the dengue virus 3' UTR."
"3'-UTR","DHX9",1660,21386893,"DENV2, DENV4","K562, HeLa","RNA affinity chromatography, Electrophoretic mobility shift assay","NF90 binds the dengue virus RNA 3' terminus and is a positive regulator of dengue virus replication."
"3'-UTR","ILF2",3608,21386893,"DENV2, DENV4","K562, HeLa","RNA affinity chromatography, Electrophoretic mobility shift assay","NF90 binds the dengue virus RNA 3' terminus and is a positive regulator of dengue virus replication."
"3'-UTR","ILF3",3609,21386893,"DENV2, DENV4","K562, HeLa","RNA affinity chromatography, Electrophoretic mobility shift assay","NF90 binds the dengue virus RNA 3' terminus and is a positive regulator of dengue virus replication."
"3'-UTR","CAPRIN1",4076,21957497,"DENV2","HeLa, HuH7","RNA affinity chromatography, Electrophoretic mobility shift assay","Quantitative mass spectrometry of DENV-2 RNA-interacting proteins reveals that the DEAD-box RNA helicase DDX6 binds the DB1 and DB2 3' UTR structures."
